seq,orderid,orderdate,shipdate,customerid,customername,customertype,국가,도시,주,우편번호,regiontype,productid,bigcategory,subcategory,productname,price,quantity,discount
3489,CA-2015-1573221,02/07/2015 0:00,06/07/2015 0:00,RH-19600,Rob Haberlin,Consumer,United States,Huntsville,Alabama,35810,South,FUR-CH-10004086,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,57.33,2,0.3
3490,CA-2015-1573222,02/07/2015 0:00,06/07/2015 0:00,RH-19600,Rob Haberlin,Consumer,United States,Huntsville,Alabama,35810,South,FUR-CH-10003774,Furniture,Chairs,"Global Wood Trimmed Managers Task Chair, Khaki",45.33,6,0.3
6993,CA-2015-1093863,08/11/2015 0:00,13/11/2015 0:00,RH-19600,Rob Haberlin,Consumer,United States,Huntsville,Alabama,35810,South,FUR-FU-10000308,Furniture,Furnishings,Deflect-o Glass Clear Studded Chair Mats,38.78,3,0
6216,CA-2015-1617111,28/11/2015 0:00,03/12/2015 0:00,MC-17425,Mark Cousins,Corporate,United States,Mobile,Alabama,36608,South,FUR-FU-10000087,Furniture,Furnishings,Executive Impressions 14 Two-Color Numerals Wall Clock,52.78,3,0
7932,US-2016-1680951,15/07/2016 0:00,20/07/2016 0:00,MC-17425,Mark Cousins,Corporate,United States,Mobile,Alabama,36608,South,FUR-CH-10004886,Furniture,Chairs,Bevis Steel Folding Chairs,25.33,3,0.2
3365,CA-2016-1300501,16/07/2016 0:00,18/07/2016 0:00,MC-17425,Mark Cousins,Corporate,United States,Mobile,Alabama,36608,South,FUR-FU-10001940,Furniture,Furnishings,Staple-based wall hangings,24.78,3,0.6
4544,CA-2015-1265571,12/07/2015 0:00,17/07/2015 0:00,RL-19615,Rob Lucas,Consumer,United States,Montgomery,Alabama,36116,South,FUR-CH-10004477,Furniture,Chairs,"Global Push Button Managers Chair, Indigo",40.33,9,0.3
4549,CA-2015-1265576,12/07/2015 0:00,17/07/2015 0:00,RL-19615,Rob Lucas,Consumer,United States,Montgomery,Alabama,36116,South,FUR-FU-10001861,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",56.78,1,0.6
8974,CA-2017-1592261,25/04/2017 0:00,27/04/2017 0:00,RL-19615,Rob Lucas,Consumer,United States,Montgomery,Alabama,36116,South,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",56,7,0.15
5930,US-2017-1695511,07/07/2017 0:00,09/07/2017 0:00,RL-19615,Rob Lucas,Consumer,United States,Montgomery,Alabama,36116,South,FUR-BO-10001519,Furniture,Bookcases,OSullivan 3-Shelf Heavy-Duty Bookcases,37,3,0.5
4204,CA-2014-1453871,31/10/2014 0:00,02/11/2014 0:00,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,13.8,5,0
4205,CA-2014-1453872,31/10/2014 0:00,02/11/2014 0:00,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South,OFF-PA-10002195,Office Supplies,Paper,"RSVP Cards & Envelopes, Blank White, 8-1/2 X 11, 24 Cards/25 Envelopes/Set",73.67,2,0
4207,CA-2014-1453874,31/10/2014 0:00,02/11/2014 0:00,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South,OFF-BI-10004001,Office Supplies,Binders,GBC Recycled VeloBinder Covers,29.53,2,0
8264,CA-2015-1384571,13/09/2015 0:00,17/09/2015 0:00,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South,OFF-BI-10000014,Office Supplies,Binders,Heavy-Duty E-Z-D Binders,23.53,4,0.7
8437,CA-2015-1514701,20/09/2015 0:00,26/09/2015 0:00,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South,OFF-BI-10004040,Office Supplies,Binders,Wilson Jones Impact Binders,26.53,11,0.2
2447,CA-2015-1005731,25/09/2015 0:00,01/10/2015 0:00,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South,OFF-EN-10000461,Office Supplies,Envelopes,#10- 4 1/8 x 9 1/2 Recycled Envelopes,36.4,2,0
2015,CA-2016-1459052,18/09/2016 0:00,23/09/2016 0:00,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South,OFF-PA-10000533,Office Supplies,Paper,Southworth Parchment Paper & Envelopes,37.67,2,0
2016,CA-2016-1459053,18/09/2016 0:00,23/09/2016 0:00,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South,OFF-ST-10003716,Office Supplies,Storage,Tennsco Double-Tier Lockers,26.53,4,0
6584,CA-2017-1047311,21/07/2017 0:00,27/07/2017 0:00,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South,OFF-AR-10003727,Office Supplies,Art,Berol Giant Pencil Sharpener,27.8,6,0
6587,CA-2017-1047314,21/07/2017 0:00,27/07/2017 0:00,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South,OFF-AR-10003829,Office Supplies,Art,Newell 35,8.8,6,0
6589,CA-2017-1047316,21/07/2017 0:00,27/07/2017 0:00,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South,OFF-BI-10003355,Office Supplies,Binders,Cardinal Holdit Business Card Pockets,36.53,3,0
6590,CA-2017-1047317,21/07/2017 0:00,27/07/2017 0:00,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South,OFF-SU-10003505,Office Supplies,Supplies,Premier Electric Letter Opener,29.47,2,0
7710,CA-2014-1395422,25/10/2014 0:00,29/10/2014 0:00,EH-14185,Evan Henry,Consumer,United States,Decatur,Alabama,35601,South,OFF-BI-10000309,Office Supplies,Binders,"GBC Twin Loop Wire Binding Elements, 9/16 Spine, Black",53.53,3,0.7
3394,CA-2014-1053401,22/11/2014 0:00,25/11/2014 0:00,EH-14185,Evan Henry,Consumer,United States,Decatur,Alabama,35601,South,OFF-BI-10001765,Office Supplies,Binders,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,63.53,1,0.8
5440,CA-2016-1671151,04/04/2016 0:00,09/04/2016 0:00,EH-14185,Evan Henry,Consumer,United States,Decatur,Alabama,35601,South,OFF-BI-10004600,Office Supplies,Binders,Ibico Ibimaster 300 Manual Binding System,40.53,2,0.2
9283,CA-2016-1604861,30/12/2016 0:00,04/01/2017 0:00,EH-14185,Evan Henry,Consumer,United States,Decatur,Alabama,35601,South,OFF-PA-10002421,Office Supplies,Paper,Embossed Ink Jet Note Cards,26.67,4,0.2
5984,CA-2017-1129841,16/09/2017 0:00,18/09/2017 0:00,EH-14185,Evan Henry,Consumer,United States,Decatur,Alabama,35601,South,OFF-PA-10003657,Office Supplies,Paper,Xerox 1927,9.67,6,0.2
7418,US-2016-1140134,13/03/2016 0:00,15/03/2016 0:00,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-PA-10004996,Office Supplies,Paper,Speediset Carbonless Redi-Letter 7 x 8 1/2,41.67,5,0.2
7419,US-2016-1140135,13/03/2016 0:00,15/03/2016 0:00,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-BI-10004318,Office Supplies,Binders,Ibico EB-19 Dual Function Manual Binding System,46.53,1,0.7
7420,US-2016-1140136,13/03/2016 0:00,15/03/2016 0:00,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-ST-10002574,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, Black",36.53,5,0.2
7421,US-2016-1140137,13/03/2016 0:00,15/03/2016 0:00,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-BI-10002353,Office Supplies,Binders,GBC VeloBind Cover Sets,22.53,5,0.7
7422,US-2016-1140138,13/03/2016 0:00,15/03/2016 0:00,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-ST-10003641,Office Supplies,Storage,Space Solutions Industrial Galvanized Steel Shelving.,52.53,2,0.2
80,CA-2016-1272081,12/06/2016 0:00,15/06/2016 0:00,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,1.7 Cubic Foot Compact Cube Office Refrigerators,47.33,1,0
81,CA-2016-1272082,12/06/2016 0:00,15/06/2016 0:00,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,46.53,3,0
9548,CA-2016-1317441,18/06/2016 0:00,20/06/2016 0:00,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-PA-10004610,Office Supplies,Paper,Xerox 1900,9.67,2,0.2
9549,CA-2016-1317442,18/06/2016 0:00,20/06/2016 0:00,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,51.53,2,0.7
9550,CA-2016-1317443,18/06/2016 0:00,20/06/2016 0:00,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10001394,Office Supplies,Appliances,Harmony Air Purifier,19.33,3,0.2
1770,CA-2017-1460241,02/03/2017 0:00,08/03/2017 0:00,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-SU-10001935,Office Supplies,Supplies,Staple remover,13.47,4,0.2
1771,CA-2017-1460242,02/03/2017 0:00,08/03/2017 0:00,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,58.53,7,0.8
3616,CA-2017-1125292,19/11/2017 0:00,21/11/2017 0:00,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-AR-10001915,Office Supplies,Art,Peel-Off China Markers,21.8,4,0.2
1356,US-2014-1604441,05/07/2014 0:00,05/07/2014 0:00,DC-12850,Dan Campbell,Consumer,United States,Florence,Alabama,35630,South,OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",57.53,3,0.2
1357,US-2014-1604442,05/07/2014 0:00,05/07/2014 0:00,DC-12850,Dan Campbell,Consumer,United States,Florence,Alabama,35630,South,OFF-ST-10000563,Office Supplies,Storage,Fellowes Bankers Box Stor/Drawer Steel Plus,42.53,11,0.2
2479,CA-2014-1452121,13/09/2014 0:00,19/09/2014 0:00,DC-12850,Dan Campbell,Consumer,United States,Florence,Alabama,35630,South,OFF-AR-10002833,Office Supplies,Art,Newell 322,9.8,3,0
3576,CA-2015-1435321,19/03/2015 0:00,24/03/2015 0:00,DC-12850,Dan Campbell,Consumer,United States,Florence,Alabama,35630,South,OFF-PA-10001560,Office Supplies,Paper,"Adams Telephone Message Books, 5 1/4” x 11”",42.67,3,0.2
9131,CA-2016-1309112,24/03/2016 0:00,26/03/2016 0:00,DC-12850,Dan Campbell,Consumer,United States,Florence,Alabama,35630,South,OFF-AR-10000475,Office Supplies,Art,"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",57.8,2,0.2
1270,CA-2017-1004261,04/06/2017 0:00,08/06/2017 0:00,DC-12850,Dan Campbell,Consumer,United States,Florence,Alabama,35630,South,OFF-PA-10002870,Office Supplies,Paper,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",67.67,2,0
2500,US-2017-1337811,22/06/2017 0:00,23/06/2017 0:00,DC-12850,Dan Campbell,Consumer,United States,Florence,Alabama,35630,South,OFF-EN-10004483,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",41.4,3,0.2
7898,CA-2017-1283631,13/08/2017 0:00,18/08/2017 0:00,DC-12850,Dan Campbell,Consumer,United States,Florence,Alabama,35630,South,OFF-AP-10001563,Office Supplies,Appliances,Belkin Premiere Surge Master II 8-outlet surge protector,55.33,7,0.2
7899,CA-2017-1283632,13/08/2017 0:00,18/08/2017 0:00,DC-12850,Dan Campbell,Consumer,United States,Florence,Alabama,35630,South,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,41.53,6,0.7
7900,CA-2017-1283633,13/08/2017 0:00,18/08/2017 0:00,DC-12850,Dan Campbell,Consumer,United States,Florence,Alabama,35630,South,OFF-FA-10003495,Office Supplies,Fasteners,Staples,6.4,5,0.2
7903,CA-2017-1283636,13/08/2017 0:00,18/08/2017 0:00,DC-12850,Dan Campbell,Consumer,United States,Florence,Alabama,35630,South,OFF-EN-10003845,Office Supplies,Envelopes,Colored Envelopes,16.4,5,0.2
2823,CA-2017-1310161,18/09/2017 0:00,20/09/2017 0:00,DC-12850,Dan Campbell,Consumer,United States,Florence,Alabama,35630,South,OFF-AR-10000122,Office Supplies,Art,Newell 314,9.8,2,0.2
2824,CA-2017-1310162,18/09/2017 0:00,20/09/2017 0:00,DC-12850,Dan Campbell,Consumer,United States,Florence,Alabama,35630,South,OFF-ST-10000352,Office Supplies,Storage,Acco Perma 2700 Stacking Storage Drawers,39.53,2,0.2
8428,CA-2017-1670171,23/11/2017 0:00,25/11/2017 0:00,DC-12850,Dan Campbell,Consumer,United States,Florence,Alabama,35630,South,OFF-SU-10001935,Office Supplies,Supplies,Staple remover,13.47,2,0
8150,CA-2014-1679971,26/01/2014 0:00,29/01/2014 0:00,CA-11965,Carol Adams,Corporate,United States,Hoover,Alabama,35244,South,OFF-BI-10001758,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,58.53,2,0
4286,CA-2015-1056902,21/11/2015 0:00,26/11/2015 0:00,CA-11965,Carol Adams,Corporate,United States,Hoover,Alabama,35244,South,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,56.6,2,0.2
2834,CA-2017-1346491,26/01/2017 0:00,31/01/2017 0:00,CA-11965,Carol Adams,Corporate,United States,Hoover,Alabama,35244,South,OFF-AR-10001547,Office Supplies,Art,Newell 311,9.8,7,0
2835,CA-2017-1346492,26/01/2017 0:00,31/01/2017 0:00,CA-11965,Carol Adams,Corporate,United States,Hoover,Alabama,35244,South,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,24.53,2,0
7871,CA-2017-1221121,25/09/2017 0:00,29/09/2017 0:00,CA-11965,Carol Adams,Corporate,United States,Hoover,Alabama,35244,South,OFF-EN-10004459,Office Supplies,Envelopes,Security-Tint Envelopes,22.4,4,0.2
7654,CA-2015-1215521,22/03/2015 0:00,27/03/2015 0:00,FW-14395,Fred Wasserman,Corporate,United States,Huntsville,Alabama,35810,South,OFF-AR-10003217,Office Supplies,Art,Newell 316,9.8,4,0
3491,CA-2015-1573223,02/07/2015 0:00,06/07/2015 0:00,RH-19600,Rob Haberlin,Consumer,United States,Huntsville,Alabama,35810,South,OFF-ST-10004507,Office Supplies,Storage,Advantus Rolling Storage Box,27.53,5,0.2
3492,CA-2015-1573224,02/07/2015 0:00,06/07/2015 0:00,RH-19600,Rob Haberlin,Consumer,United States,Huntsville,Alabama,35810,South,OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,33.53,3,0.2
3493,CA-2015-1573225,02/07/2015 0:00,06/07/2015 0:00,RH-19600,Rob Haberlin,Consumer,United States,Huntsville,Alabama,35810,South,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",73.67,2,0.2
6991,CA-2015-1093861,08/11/2015 0:00,13/11/2015 0:00,RH-19600,Rob Haberlin,Consumer,United States,Huntsville,Alabama,35810,South,OFF-AP-10003266,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",57.33,3,0
6994,CA-2015-1093864,08/11/2015 0:00,13/11/2015 0:00,RH-19600,Rob Haberlin,Consumer,United States,Huntsville,Alabama,35810,South,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",46.8,7,0
6995,CA-2015-1093865,08/11/2015 0:00,13/11/2015 0:00,RH-19600,Rob Haberlin,Consumer,United States,Huntsville,Alabama,35810,South,OFF-AR-10000122,Office Supplies,Art,Newell 314,9.8,5,0
6217,CA-2015-1617112,28/11/2015 0:00,03/12/2015 0:00,MC-17425,Mark Cousins,Corporate,United States,Mobile,Alabama,36608,South,OFF-EN-10001539,Office Supplies,Envelopes,Staple envelope,14.4,8,0
7933,US-2016-1680952,15/07/2016 0:00,20/07/2016 0:00,MC-17425,Mark Cousins,Corporate,United States,Mobile,Alabama,36608,South,OFF-PA-10003641,Office Supplies,Paper,Xerox 1909,9.67,5,0.2
1452,CA-2016-1337111,26/11/2016 0:00,29/11/2016 0:00,MC-17425,Mark Cousins,Corporate,United States,Mobile,Alabama,36608,South,OFF-PA-10001685,Office Supplies,Paper,Easy-staple paper,16.67,7,0
1453,CA-2016-1337112,26/11/2016 0:00,29/11/2016 0:00,MC-17425,Mark Cousins,Corporate,United States,Mobile,Alabama,36608,South,OFF-BI-10000666,Office Supplies,Binders,Surelock Post Binders,20.53,3,0
1454,CA-2016-1337113,26/11/2016 0:00,29/11/2016 0:00,MC-17425,Mark Cousins,Corporate,United States,Mobile,Alabama,36608,South,OFF-BI-10004352,Office Supplies,Binders,Wilson Jones DublLock D-Ring Binders,35.53,5,0
7569,CA-2014-1338301,05/12/2014 0:00,10/12/2014 0:00,RL-19615,Rob Lucas,Consumer,United States,Montgomery,Alabama,36116,South,OFF-AR-10003045,Office Supplies,Art,Prang Colored Pencils,20.8,9,0
7570,CA-2014-1338302,05/12/2014 0:00,10/12/2014 0:00,RL-19615,Rob Lucas,Consumer,United States,Montgomery,Alabama,36116,South,OFF-PA-10001363,Office Supplies,Paper,Xerox 1933,9.67,4,0
7571,CA-2014-1338303,05/12/2014 0:00,10/12/2014 0:00,RL-19615,Rob Lucas,Consumer,United States,Montgomery,Alabama,36116,South,OFF-FA-10002280,Office Supplies,Fasteners,Advantus Plastic Paper Clips,27.4,3,0
4547,CA-2015-1265574,12/07/2015 0:00,17/07/2015 0:00,RL-19615,Rob Lucas,Consumer,United States,Montgomery,Alabama,36116,South,OFF-BI-10003314,Office Supplies,Binders,Tuff Stuff Recycled Round Ring Binders,37.53,2,0.8
4548,CA-2015-1265575,12/07/2015 0:00,17/07/2015 0:00,RL-19615,Rob Lucas,Consumer,United States,Montgomery,Alabama,36116,South,OFF-AR-10003190,Office Supplies,Art,Newell 32,8.8,3,0.2
535,CA-2016-1687532,29/05/2016 0:00,01/06/2016 0:00,RL-19615,Rob Lucas,Consumer,United States,Montgomery,Alabama,36116,South,OFF-BI-10002557,Office Supplies,Binders,Presstex Flexible Ring Binders,29.53,5,0
6763,CA-2016-1447641,02/09/2016 0:00,08/09/2016 0:00,RL-19615,Rob Lucas,Consumer,United States,Montgomery,Alabama,36116,South,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,56.6,5,0.2
6764,CA-2016-1447642,02/09/2016 0:00,08/09/2016 0:00,RL-19615,Rob Lucas,Consumer,United States,Montgomery,Alabama,36116,South,OFF-ST-10002485,Office Supplies,Storage,Rogers Deluxe File Chest,23.53,2,0.2
7245,US-2017-1511271,22/05/2017 0:00,25/05/2017 0:00,RL-19615,Rob Lucas,Consumer,United States,Montgomery,Alabama,36116,South,OFF-AR-10002445,Office Supplies,Art,SANFORD Major Accent Highlighters,32.8,7,0
5931,US-2017-1695512,07/07/2017 0:00,09/07/2017 0:00,RL-19615,Rob Lucas,Consumer,United States,Montgomery,Alabama,36116,South,OFF-PA-10004100,Office Supplies,Paper,Xerox 216,8.67,3,0.2
5933,US-2017-1695514,07/07/2017 0:00,09/07/2017 0:00,RL-19615,Rob Lucas,Consumer,United States,Montgomery,Alabama,36116,South,OFF-ST-10004835,Office Supplies,Storage,Plastic Stacking Crates & Casters,32.53,3,0.2
2842,US-2017-1350621,31/08/2017 0:00,04/09/2017 0:00,RL-19615,Rob Lucas,Consumer,United States,Montgomery,Alabama,36116,South,OFF-PA-10000100,Office Supplies,Paper,Xerox 1945,9.67,7,0.2
6190,CA-2017-1579031,04/04/2017 0:00,08/04/2017 0:00,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South,TEC-PH-10004345,Technology,Phones,Cisco SPA 502G IP Phone,22.4,4,0.2
6585,CA-2017-1047312,21/07/2017 0:00,27/07/2017 0:00,AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South,TEC-PH-10002660,Technology,Phones,Nortel Networks T7316 E Nt8 B27,30.4,4,0
3268,CA-2014-1438401,22/05/2014 0:00,29/05/2014 0:00,EH-14185,Evan Henry,Consumer,United States,Decatur,Alabama,35601,South,TEC-PH-10002660,Technology,Phones,Nortel Networks T7316 E Nt8 B27,30.4,2,0
3269,CA-2014-1438402,22/05/2014 0:00,29/05/2014 0:00,EH-14185,Evan Henry,Consumer,United States,Decatur,Alabama,35601,South,TEC-PH-10003171,Technology,Phones,Plantronics Encore H101 Dual Earpieces Headset,45.4,1,0
7709,CA-2014-1395421,25/10/2014 0:00,29/10/2014 0:00,EH-14185,Evan Henry,Consumer,United States,Decatur,Alabama,35601,South,TEC-AC-10001553,Technology,Accessories,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack",54.9,3,0.2
2745,CA-2015-1401442,20/06/2015 0:00,25/06/2015 0:00,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,33.4,3,0.2
7416,US-2016-1140132,13/03/2016 0:00,15/03/2016 0:00,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,TEC-AC-10000474,Technology,Accessories,Kensington Expert Mouse Optical USB Trackball for PC or Mac,57.9,5,0.2
7417,US-2016-1140133,13/03/2016 0:00,15/03/2016 0:00,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,TEC-PH-10001494,Technology,Phones,Polycom CX600 IP Phone VoIP phone,32.4,3,0.4
7423,US-2016-1140139,13/03/2016 0:00,15/03/2016 0:00,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,43.2,3,0.7
1911,CA-2016-1059631,15/11/2016 0:00,22/11/2016 0:00,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,32.9,3,0
7901,CA-2017-1283634,13/08/2017 0:00,18/08/2017 0:00,DC-12850,Dan Campbell,Consumer,United States,Florence,Alabama,35630,South,TEC-AC-10003709,Technology,Accessories,Maxell 4.7GB DVD-R 5/Pack,23.9,2,0.2
4287,CA-2015-1056903,21/11/2015 0:00,26/11/2015 0:00,CA-11965,Carol Adams,Corporate,United States,Hoover,Alabama,35244,South,TEC-CO-10001571,Technology,Copiers,Sharp 1540cs Digital Laser Copier,32.3,1,0.2
